Dish Name,Description,Spice,Prep Time,Views,Rating,Number of Votes,Serves,Dietary Info,Cook Time,Ingredients,Instructions
Pistachio chicken,Mild chicken in a creamy pistachio sauce,mild,Prep 10 mins,11604,4.1,18,4,['CONTAINS-NUTS'], 30 mins,"1) 600g chicken thighs, cut into chunks
2) 100g Pistachios, blanched
3) 1 medium onion, chopped finely
4) 7cm piece ginger, roughly chopped
5) 2-3 green chillies 6 garlic cloves
6) ½ small bunch of fresh coriander leaves
7) 200g yoghurt ½ tsp turmeric powder
8) Salt to taste
9) 2 tbsp ghee
10) 2 cloves
11) 15 black peppercorns
12) 4 green cardamoms, cracked
13) 1 bay leaf
14) 2 inch cassia bark
15) 1 tsp cumin seeds
16) Fresh cream for garnish
17) Fresh coriander to garnish</li>
","1) Boil enough water to cover the pistachios, add them and blanch for about 5 minutes.
2) Drain and put them into cold water so they stay green.
3) Squish them in your fingers to remove the skins. Discard the skin and place the pistachios in a bowl for later.
4) Put the chicken in a large bowl and add yoghurt, turmeric powder, salt and mix well.
5) Heat ghee and add cloves, black peppercorns, green cardamoms, bay leaf and cassia and sauté until fragrant. Add minced onion and and cook to soften for 5-10 minutes.
6) Add ginger, green chillies, garlic and sauté until soft. Stir in the pistachios and stil for 2-3 minutes. Remove the pan from the heat and let it cool for a while.
7) Remove the bay leaf and cassia bark. Pour into a large jug and add a handful of fresh coriander leaves and about 130 ml of water and with a stick blender and blitz to a fine purée.
8) In the same pan heat a tbsp of ghee and add cumin seeds until they sizzle and put the cassia and bay back to the pan. Add the marinated chicken and sauté on high heat for 3-4 minutes.
9) Pour in the blended pistachio paste with some salt and mix well. Cover the pan and cook for 25 minutes, stirring occasionally until cooked through.
10) Transfer into a serving bowl. Garnish with fresh cream, coriander and slivers of pistachios.
"
Tangy Fried Okra,Bhindi with Amchoor,medium,Prep 10 mins,49899,4.6,35,4,['VEGETARIAN'], 15 mins,"1) 500g okra
2) 3 tbsp mustard oil
3) 1 onion, finely sliced
4) 2 tsp coriander seeds
5) 1 dried red chilli/1tsp chilli flakes
6) 1 tsp salt
7) 1 tsp turmeric
8) 1 tsp garam masala
9) 2 tsp amchoor powder (dried mango powder)
","1) Wash and thoroughly dry the okra (kitchen roll is great for this).
2) Remove the tops and slice the okra in half lengthways. Place the coriander seeds and red chilli into the pestle and mortar and pound until you have a coarse powder, then leave to one side.
3) Heat the oil in a wok or non-stick pan on a medium heat, then stir in the sliced onions and cook until they just begin to brown.
4) Add the okra and fry for about ten minutes, stirring now and then.
5) Add the salt, turmeric along with the coriander and chilli mixture. Reduce the heat and leave the okra to cook for five more minutes (do not cover the pan).
6) Once cooked, remove from the heat, sprinkle with garam masala and dust with the armchoor powder to serve.
"
Healthy Chicken Korma,Chicken in Creamy Almond Sauce,mild,Prep 10 mins,115569,3.6,163,4,['CONTAINS-NUTS'], 20 mins,"1) 6-8 tbsp natural yoghurt
2) 1 tsp turmeric
3) 1 tsp cumin seeds, ground
4) 1 tsp cinnamon powder
5) 1 tsp coriander seeds, ground
6) Pinch of saffron threads
7) 3cm fresh ginger, grated
8) 4 cloves garlic, crushed
9) 4 skinless free range chicken breast cubed
10) 1 tbsp rapeseed oil
11) 1 onion very finely chopped or grated
12) 2–3 tbsp ground almonds
13) 2 tbsp ground coconut
14) 1 tbsp flaked toasted almonds
15) large pinch fresh coriander, chopped
","1) Grind your whole spices in a spice grinder.
2) Place the yoghurt into a bowl with the turmeric, cumin, cinnamon, coriander, saffron, ginger and garlic and mix well to combine the flavours.
3) Add the chicken pieces into the yoghurt mixture and coat all the chicken. Leave to marinade for as long as possible.
4) Heat some oil in a pan and cook the onion until it softens and just starts turning golden (you don't want them too brown). If the onions catch on the bottom of the pan, just add a splash of water to help them cook down.
5) Add the chicken and marinade to the pan and stir until the meat just starts to cook.
6) Reduce the heat and place the lid on the pan and leave to cook for 5 minutes.
7) Remove the lid and stir in the ground almonds and coconut. If it seems dry, add a little splash of hot water and allow the chicken to cook for a couple of minutes until the chicken is cooked through. Remove the pan from the heat.
8) Toast some almond slivers in a dry pan until golden, remove and set to one side.
9) When ready to serve, add some fresh coriander and the toasted almonds.
"
Brown Lentil Dhal,Sabut Masoor di Dhal,medium,Prep 10 mins,146798,3.7,87,4,['VEGETARIAN'], 20 mins,"1) 200g brown lentils
2) Approx. 1L of water
","1) Place the lentils in the pressure cooker with about 700ml of cold water and one tsp salt.
2) Put the lid on the pan and secure it as instructed. Bring to the boil and allow the cooker to whistle three times.
3) Reduce heat and leave it to simmer for 10 minutes. Remove from the heat and leave to cool - DO NOT REMOVE THE LID.
4) In a frying pan heat the butter and add the onions and fry until lightly browned. Reduce the heat and add the tomatoes, ginger, chilli, turmeric and cook down so the tomatoes and onions melt, creating a thick masala paste. This will take about 10 minutes.
5) Ensure the steam has been released from the pressure cooker and open the lid.
6) Check the dhal is cooked by squeezing some lentils between your fingers. If they are still hard check the water level (add a little more if required) and re-place lid on the cooker and repeat as per step 2. Once the lentils are soft they are ready.
7) Add the masala paste to the cooked dhal and cook together for a few minutes.
8) Sprinkle in the garam masala and coriander to serve.
"
Thari Wala Chicken,Healthy Chicken Curry,medium,Prep 10 mins,262696,3.5,343,4,['LACTOSE-FREE'], 40 mins,"1) 8 pieces of chicken (4 legs cut into thigh and drumsticks)
","1) Skin the chicken, removing any excess fat.
2) Heat oil in a pan and add the onion and garlic. Fry on a high heat for a few minutes then reduce the heat and cook gently for about 20 minutes until they turn a lovely dark golden brown. If they stick to the bottom of the pan reduce the heat and add a dash of hot water as and when required.
3) Once browned add the tinned tomatoes, ginger, salt, turmeric, coriander stalks and chopped chilli. Increase the heat to high.
4) Let the onions and tomatoes melt together creating a thick aromatic masala paste. This will take about 5-10 minutes so be patient! Once the paste is shiny and thick add the chicken pieces and stir to coat.
5) Turn the heat up and fry the chicken for 5 minutes.
6) Reduce the heat to the lowest setting and put the lid on the pan. Leave to cook for 20 - 25 minutes until the chicken is cooked and the meat is starting to fall away from the bone.
7) Once cooked, add enough boiling water to just cover the chicken and cook for another few minutes then remove from the heat.
8) Stir in the garam masala, throw in the coriander and serve.
"
Achaari Bangun,Aubergine and Potato Curry with Pickling Spices,hot,Prep 10 mins,21891,3.7,18,4,['VEGETARIAN'], 30 mins,"1) 1 tsp fennel seeds
2) 1 tsp mustard seeds
3) 1 tsp fenugreek seeds
4) 1 tsp nigella seeds (kalonji)
5) ½ tsp cumin seeds
6) ½ tsp chilli flakes
","1) In a heavy bottom pan, dry roast all the spices on a medium low heat until fragrant and nutty. Shake the pan so they don't burn. Remove from the heat and put into a bowl so they don't continue to cook.
2) Allow the spices to cool completely then in a spice grinder blitz to a fine powder.
"
Aloo Bangun,Potato Aubergine Curry,medium,Prep 10 mins,98155,3.4,91,4,['VEGETARIAN'], 40 mins,"1) 2 aubergines, cut into 3cm lengths
2) 2 potatoes, peeled and cut into 3cm lengths
3) 2 tbsp mustard oil
4) 1 tsp mustard seeds
5) 1 tsp cumin seeds
6) 1 onion, finely sliced
7) 200g/½ tin tomatoes
8) 1 tbsp ginger, grated
9) 1 tsp salt
10) 1 tsp turmeric
11) 1 chilli, finely chopped
12) 1 tsp garam masala
13) Handful fresh coriander, chopped
","1) Heat the oil in a wok or karahi and add 1 tsb of mustard seeds. Once sizzling, add 1 tsp cumin seeds and fry until they become fragrant.
2) Then add 1 sliced onion and continue to cook until soft and lightly browned. .
3) Reduce the heat a little and add 200 g tomatoes, 1 tsp salt, 1 tsp turmeric, 1 finely chopped chilli and 1 tbsp grated ginger. .
4) Cook until the onions and tomatoes melt together to create a thick, aromatic masala paste (5-10 minutes). .
5) Add 2 cubed potatoes and stir to coat with the sauce. Reduce the heat cover the pan with the lid and leave to cook for 5 minutes. Add a little drop of water if required. .
6) Stir in the 2 cubed aubergines and coat them with the masala. .
7) Replace lid and leave to cook for 25-30 minutes stirring occasionally, until cooked through. .
8) Once soft and cooked through sprinkle the curry with garam masala and fresh coriander before serving.
"
Bombay Aloo,Masala Potatoes,hot,Prep 10 mins,212940,3.3,152,4,['VEGETARIAN'], 30 mins,"1) 1 tbsp vegetable oil
2) 1 tsp mustard seeds
3) 5 curry leaves
4) 1 onion, sliced
5) 2 green chillies, finely chopped
6) 1 tsp cumin seeds
7) 1 tsp coriander seeds
8) ½ tsp red chilli powder (optional)
9) ½ tsp turmeric
10) 1 tsp salt
11) 2 potatoes, cut into chunks
12) 1 tsp garam masala
13) Handful fresh coriander, finely chopped
","1) Heat the oil in a pan and add the mustard seeds and curry leaves.
2) Once the mustard seeds splutter stir in the onions and cook until they turn a light golden brown colour.
3) Place the coriander and cumin seeds into a pestle and mortar and pound to a powder. Add this, the turmeric, green chillies and chilli powder to the onions.
4) After a minute the spices will become fragrant, stir in the potatoes and salt then cook for about 5 minutes.
5) Reduce the heat and stir in a splash of water. Place the lid on the pan and leave to steam for about 15-20 minutes until the potatoes are soft.
6) Remove from the heat and finish with one teaspoon garam masala and a handful of fresh coriander.
"
Coriander Fish,Thania Machchi,medium,Prep 5 mins,68518,3.9,18,4,['LACTOSE-FREE'], 15 mins,"1) 4-6 pieces of white fish, washed and dried
2) 1 tbsp turmeric powder
3) 1 tsp salt
4) 2 tbsp oil
","1) Sprinkle the fish with salt and turmeric powder and leave to marinade for 15 minutes.
"
Hariyali Chicken,Green Chicken Tikka,medium,Prep 10 mins,71504,3.9,62,6,[], 20 mins,"1) 6 chicken thigh fillets, trimmed and skinned
","1) Clean, wash and pat dry the chicken pieces.
2) Put the cumin seeds into a pestle and mortar and roughly crush the seeds.
3) Place the mint, coriander, ginger, garlic, chillies, lemon juice, salt and oil into a blender and blitz to a paste.
4) Empty this paste into a bowl and mix in the yoghurt and crushed cumin seeds.
5) Combine the chicken and the marinade and let it sit for at least 30 minutes but overnight is better.
6) Cook in the oven at 180°C for 25 minutes or on the barbecue for about 10-15 minutes until cooked through.
"
